entry_time,exit_time,entry_price,exit_price,pnl,type,exit_reason,duration_minutes,duration_bars
2025-01-13 12:32:00-05:00,2025-01-13 12:47:00-05:00,578.26,578.34,8.000000000004093,LONG,MAX_HOLD_BARS,15.0,15
2025-01-14 11:19:00-05:00,2025-01-14 11:26:00-05:00,580.85,581.64,-78.99999999999636,SHORT,SL,7.0,7
2025-01-14 11:57:00-05:00,2025-01-14 11:59:00-05:00,579.35,578.77,58.00000000000409,SHORT,TP,2.0,2
2025-01-15 09:40:00-05:00,2025-01-15 09:47:00-05:00,590.11,591.61,150.0,LONG,TP,7.0,7
2025-01-15 09:57:00-05:00,2025-01-15 10:12:00-05:00,591.81,592.35,54.00000000000773,LONG,MAX_HOLD_BARS,15.0,15
2025-01-15 13:51:00-05:00,2025-01-15 14:06:00-05:00,592.49,592.7,21.000000000003638,LONG,MAX_HOLD_BARS,15.0,15
2025-01-15 14:14:00-05:00,2025-01-15 14:29:00-05:00,592.81,593.1,29.00000000000773,LONG,MAX_HOLD_BARS,15.0,15
2025-01-17 11:05:00-05:00,2025-01-17 11:20:00-05:00,597.95,598.29,33.999999999991815,LONG,MAX_HOLD_BARS,15.0,15
2025-01-22 10:26:00-05:00,2025-01-22 10:41:00-05:00,606.79,606.82,3.00000000000864,LONG,MAX_HOLD_BARS,15.0,15
2025-01-22 11:48:00-05:00,2025-01-22 12:03:00-05:00,607.49,607.59,10.000000000002274,LONG,MAX_HOLD_BARS,15.0,15
2025-01-22 12:05:00-05:00,2025-01-22 12:13:00-05:00,607.75,607.48,-26.99999999999818,LONG,SL,8.0,8
2025-01-24 09:59:00-05:00,2025-01-24 10:03:00-05:00,610.22,609.82,-39.999999999997726,LONG,SL,4.0,4
2025-01-24 13:06:00-05:00,2025-01-24 13:11:00-05:00,608.66,608.19,46.99999999999136,SHORT,TP,5.0,5
2025-01-24 13:17:00-05:00,2025-01-24 13:32:00-05:00,608.46,608.57,-11.000000000001364,SHORT,MAX_HOLD_BARS,15.0,15
2025-01-27 09:56:00-05:00,2025-01-27 10:06:00-05:00,598.03,597.49,53.99999999999636,SHORT,TP,10.0,10
2025-01-28 10:37:00-05:00,2025-01-28 10:48:00-05:00,602.06,602.57,51.00000000001046,LONG,TP,11.0,11
2025-01-30 09:56:00-05:00,2025-01-30 09:58:00-05:00,605.67,604.78,-88.99999999999864,LONG,SL,2.0,2
2025-01-30 12:03:00-05:00,2025-01-30 12:06:00-05:00,603.84,603.46,-37.999999999999545,LONG,SL,3.0,3
2025-01-30 12:37:00-05:00,2025-01-30 12:42:00-05:00,602.42,603.16,-74.00000000000091,SHORT,SL,5.0,5
2025-01-30 13:54:00-05:00,2025-01-30 14:09:00-05:00,604.98,604.87,-11.000000000001364,LONG,MAX_HOLD_BARS,15.0,15
2025-01-30 15:10:00-05:00,2025-01-30 15:22:00-05:00,606.0,606.46,46.00000000000364,LONG,TP,12.0,12
2025-01-31 09:48:00-05:00,2025-01-31 09:59:00-05:00,607.85,608.11,25.99999999999909,LONG,TP,11.0,11
2025-01-31 10:10:00-05:00,2025-01-31 10:25:00-05:00,608.66,608.94,28.00000000000864,LONG,MAX_HOLD_BARS,15.0,15
2025-01-31 11:51:00-05:00,2025-01-31 12:06:00-05:00,608.69,608.47,22.00000000000273,SHORT,MAX_HOLD_BARS,15.0,15
2025-01-31 14:04:00-05:00,2025-01-31 14:07:00-05:00,605.01,603.68,133.0000000000041,SHORT,TP,3.0,3
2025-02-03 10:11:00-05:00,2025-02-03 10:22:00-05:00,591.25,592.89,-163.99999999999864,SHORT,SL,11.0,11
2025-02-04 10:26:00-05:00,2025-02-04 10:30:00-05:00,600.7,600.23,-47.00000000000273,LONG,SL,4.0,4
2025-02-04 14:29:00-05:00,2025-02-04 14:35:00-05:00,601.87,602.12,25.0,LONG,TP,6.0,6
2025-02-05 11:59:00-05:00,2025-02-05 12:14:00-05:00,602.69,602.92,22.99999999999045,LONG,MAX_HOLD_BARS,15.0,15
2025-02-07 14:07:00-05:00,2025-02-07 14:21:00-05:00,601.21,600.61,60.000000000002274,SHORT,TP,14.0,14
2025-02-07 14:28:00-05:00,2025-02-07 14:39:00-05:00,600.81,601.24,-43.00000000000637,SHORT,SL,11.0,11
2025-02-10 10:14:00-05:00,2025-02-10 10:29:00-05:00,604.5,604.73,23.00000000000182,LONG,MAX_HOLD_BARS,15.0,15
2025-02-11 14:55:00-05:00,2025-02-11 15:10:00-05:00,605.51,605.4,-11.000000000001364,LONG,MAX_HOLD_BARS,15.0,15
2025-02-12 15:01:00-05:00,2025-02-12 15:15:00-05:00,604.01,603.63,-37.999999999999545,LONG,SL,14.0,14
2025-02-14 09:56:00-05:00,2025-02-14 10:02:00-05:00,610.48,610.16,-32.000000000005,LONG,SL,6.0,6
2025-02-19 11:33:00-05:00,2025-02-19 11:44:00-05:00,611.14,611.68,53.99999999999636,LONG,TP,11.0,11
2025-02-20 10:08:00-05:00,2025-02-20 10:17:00-05:00,607.99,609.08,-109.00000000000318,SHORT,SL,9.0,9
2025-02-20 11:03:00-05:00,2025-02-20 11:09:00-05:00,607.49,608.13,-63.999999999998636,SHORT,SL,6.0,6
2025-02-21 12:46:00-05:00,2025-02-21 12:55:00-05:00,604.72,604.13,59.00000000000318,SHORT,TP,9.0,9
2025-02-25 09:59:00-05:00,2025-02-25 10:04:00-05:00,594.93,593.64,128.99999999999636,SHORT,TP,5.0,5
2025-02-25 12:18:00-05:00,2025-02-25 12:21:00-05:00,592.9,592.29,-61.000000000001364,LONG,SL,3.0,3
2025-02-25 12:50:00-05:00,2025-02-25 12:52:00-05:00,594.1,594.51,40.99999999999682,LONG,TP,2.0,2
2025-02-26 13:12:00-05:00,2025-02-26 13:27:00-05:00,595.29,594.9,38.999999999998636,SHORT,MAX_HOLD_BARS,15.0,15
2025-02-26 14:05:00-05:00,2025-02-26 14:18:00-05:00,592.53,592.91,-37.999999999999545,SHORT,SL,13.0,13
2025-02-27 12:06:00-05:00,2025-02-27 12:16:00-05:00,592.65,591.8,85.00000000000227,SHORT,TP,10.0,10
2025-02-27 14:23:00-05:00,2025-02-27 14:24:00-05:00,592.32,591.75,57.000000000005,SHORT,TP,1.0,1
2025-02-27 14:49:00-05:00,2025-02-27 15:02:00-05:00,588.89,587.5,138.99999999999864,SHORT,TP,13.0,13
2025-02-28 13:04:00-05:00,2025-02-28 13:16:00-05:00,584.08,582.92,116.00000000000819,SHORT,TP,12.0,12
2025-03-03 09:47:00-05:00,2025-03-03 09:52:00-05:00,595.17,594.04,-112.99999999999955,LONG,SL,5.0,5
2025-03-03 15:19:00-05:00,2025-03-03 15:28:00-05:00,582.74,581.04,170.00000000000455,SHORT,TP,9.0,9
2025-03-04 10:15:00-05:00,2025-03-04 10:18:00-05:00,574.65,572.75,189.99999999999773,SHORT,TP,3.0,3
2025-03-04 12:03:00-05:00,2025-03-04 12:18:00-05:00,575.97,576.67,69.99999999999318,LONG,MAX_HOLD_BARS,15.0,15
2025-03-04 14:13:00-05:00,2025-03-04 14:23:00-05:00,581.62,582.9,127.99999999999727,LONG,TP,10.0,10
2025-03-05 09:37:00-05:00,2025-03-05 09:40:00-05:00,577.01,578.52,-150.9999999999991,SHORT,SL,3.0,3
2025-03-05 11:26:00-05:00,2025-03-05 11:41:00-05:00,574.31,573.58,72.99999999999045,SHORT,MAX_HOLD_BARS,15.0,15
2025-03-10 10:00:00-04:00,2025-03-10 10:04:00-04:00,567.32,565.9,142.00000000000728,SHORT,TP,4.0,4
2025-03-10 10:27:00-04:00,2025-03-10 10:29:00-04:00,566.23,565.51,72.00000000000273,SHORT,TP,2.0,2
2025-03-11 10:48:00-04:00,2025-03-11 10:54:00-04:00,555.47,557.01,-153.99999999999636,SHORT,SL,6.0,6
2025-03-12 11:47:00-04:00,2025-03-12 12:02:00-04:00,558.64,558.92,27.99999999999727,LONG,MAX_HOLD_BARS,15.0,15
2025-03-12 12:28:00-04:00,2025-03-12 12:41:00-04:00,560.62,559.29,-133.0000000000041,LONG,SL,13.0,13
