params,total_trades,win_rate,total_pnl,avg_pnl,profit_factor,gross_profit,gross_loss,avg_win,avg_loss,avg_rr_ratio,winning_trades,losing_trades,composite_score
"{'ema_length': 30, 'ema_backcandles': 21, 'hl_backcandles': 14, 'sl_tick_distance': 0.02, 'tp_multiplier': 3.0}",106,53.77358490566038,2370.9999999999295,22.367924528301224,1.8092150170648171,5300.999999999947,2930.000000000018,92.99999999999908,-59.79591836734731,1.5552901023890533,57,49,0.32264150943396225
"{'ema_length': 30, 'ema_backcandles': 21, 'hl_backcandles': 14, 'sl_tick_distance': 0.02, 'tp_multiplier': 1.5}",106,53.77358490566038,2327.999999999969,21.962264150943106,1.7945392491467418,5257.999999999986,2930.000000000018,92.24561403508748,-59.79591836734731,1.5426740913717607,57,49,0.32264150943396225
"{'ema_length': 20, 'ema_backcandles': 21, 'hl_backcandles': 7, 'sl_tick_distance': 0.02, 'tp_multiplier': 1.5}",223,52.01793721973094,2637.9999999999427,11.829596412555796,1.4210694333599252,8902.999999999967,6265.0000000000255,76.74999999999972,-59.666666666666906,1.2863128491620013,116,107,0.3121076233183856
"{'ema_length': 30, 'ema_backcandles': 7, 'hl_backcandles': 14, 'sl_tick_distance': 0.02, 'tp_multiplier': 2.0}",131,51.908396946564885,2208.999999999941,16.862595419846876,1.5544678714859275,6192.999999999949,3984.000000000009,91.07352941176396,-63.23809523809538,1.4401687632884328,68,63,0.31145038167938927
"{'ema_length': 30, 'ema_backcandles': 7, 'hl_backcandles': 14, 'sl_tick_distance': 0.02, 'tp_multiplier': 3.0}",131,51.908396946564885,2179.9999999999213,16.6412213740452,1.547188755020059,6163.999999999929,3984.000000000009,90.64705882352837,-63.23809523809538,1.4334248759744663,68,63,0.31145038167938927
"{'ema_length': 30, 'ema_backcandles': 7, 'hl_backcandles': 14, 'sl_tick_distance': 0.02, 'tp_multiplier': 2.5}",131,51.908396946564885,2168.999999999903,16.557251908396207,1.5444277108433475,6152.999999999911,3984.000000000009,90.48529411764575,-63.23809523809538,1.430866849751925,68,63,0.31145038167938927
"{'ema_length': 30, 'ema_backcandles': 7, 'hl_backcandles': 14, 'sl_tick_distance': 0.02, 'tp_multiplier': 1.5}",131,51.908396946564885,2077.999999999969,15.862595419847093,1.5215863453815168,6061.999999999977,3984.000000000009,89.14705882352908,-63.23809523809538,1.4097049964564055,68,63,0.31145038167938927
"{'ema_length': 20, 'ema_backcandles': 21, 'hl_backcandles': 7, 'sl_tick_distance': 0.02, 'tp_multiplier': 2.0}",222,50.9009009009009,2074.999999999949,9.346846846846617,1.3297314476402258,8367.999999999973,6293.000000000024,74.0530973451325,-58.81308411214975,1.2591262380310102,113,109,0.3054054054054054
"{'ema_length': 20, 'ema_backcandles': 21, 'hl_backcandles': 7, 'sl_tick_distance': 0.02, 'tp_multiplier': 3.0}",221,50.2262443438914,1804.9999999999272,8.167420814479309,1.2891238186769054,8047.999999999951,6243.000000000024,72.50450450450406,-58.34579439252359,1.2426689062921519,111,110,0.3013574660633484
"{'ema_length': 20, 'ema_backcandles': 21, 'hl_backcandles': 7, 'sl_tick_distance': 0.02, 'tp_multiplier': 2.5}",222,50.0,2015.99999999994,9.08108108108081,1.3179309257214842,8356.999999999965,6341.0000000000255,75.28828828828797,-58.712962962963196,1.282311170972255,111,111,0.3
